title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time,busca
Experimental metaphysics: The scanpath as an epistemological mechanism,"LW Stark, YS Choi",1996.0,89,"… visual neurophysiologists, psychologists, and computer vision scientists believed that events in … Here we attempt to reserve Kant's distinction between sensation and perception for the …",xGX_HoEZfxgJ,"LW Stark, YS Choi - Advances in psychology, 1996 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0166411596800690,unknown,unknown,r1_kant_cv.csv
The epistemological status of vision and its implications for design,D Vishwanath,2005.0,23,"… and computer vision. Many areas of research can indeed … it is precisely the things that Kant rejects based on Descartes’ … it is precisely those things that Kant embraced, that have been …",2LOh8divoFQJ,"D Vishwanath - Axiomathes, 2005 - Springer",[],https://link.springer.com/article/10.1007/s10516-004-5445-y,unknown,unknown,r1_kant_cv.csv
"Minds, brains, and deep learning: The development of cognitive science through the Lens of Kant's approach to cognition",T Schlicht,2022.0,21,"… makes explicit in the third Critique , this assumption is to be taken only in an epistemological sense, ie, we only regard it as if organisms were possible only through reason, since as …",QQpJDrEFrbMJ,"T Schlicht - Kant and artificial intelligence, 2022 - library.oapen.org",[],https://library.oapen.org/bitstream/handle/20.500.12657/57223/9783110706611.pdf?sequence=1#page=12,unknown,unknown,r1_kant_cv.csv
The predictive processing paradigm has roots in Kant,LR Swanson,2016.0,206,"… Throughout his critical period work, Kant maintained a sharp epistemic divide between … To address this challenge, researchers in computer vision, machine learning and computational …",f7iRaHPGPNQJ,"LR Swanson - Frontiers in systems neuroscience, 2016 - frontiersin.org",[],https://www.frontiersin.org/journals/systems-neuroscience/articles/10.3389/fnsys.2016.00079/full,unknown,unknown,r1_kant_cv.csv
Judging machines: Philosophical aspects of deep learning,A Schubbach,2021.0,59,"… a new form of justification, that is to be specified with the help of Kant’s epistemology. … on his epistemology, his ethics or his aesthetics, it is almost impossible to characterize the Kantian …",5lzJ3JQQb8cJ,"A Schubbach - Synthese, 2021 - Springer",[],https://link.springer.com/article/10.1007/s11229-019-02167-z,unknown,unknown,r1_kant_cv.csv
Getting past passive vision-on the use of an ontology for situated perception in robots,MJ Schlemmer,2009.0,6,"… two foundational findings from vision research that computer vision builds on: Gibson’s “… Kant’s work) to reunite both sides of the coin (idealism and realism, but also epistemology and …",D6UHOSHgVrAJ,MJ Schlemmer - 2009 - repositum.tuwien.at,[],https://repositum.tuwien.at/handle/20.500.12708/14734,unknown,unknown,r1_kant_cv.csv
Kantian philosophy of mathematics and young robots,A Sloman,2008.0,18,"… Numbers and their properties are things we can discover by thinking about them in the right way (Kant, and many mathematicians, eg [5]). 4. Numbers are sets of sets, or predicates of …",uJLMEYNn09EJ,"A Sloman - International Conference on Intelligent Computer …, 2008 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-540-85110-3_45,unknown,unknown,r1_kant_cv.csv
Kant machine: Critical philosophy after AI,Y Hui,2026.0,7,… This shift in epistemological foundation is our Ariadne's thread to trace the concept of machine in Kant and to understand Kant's philosophy as both an antidote to machines and partially …,Gy-5_RyauRwJ,Y Hui - 2026 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=lHS1EQAAQBAJ&oi=fnd&pg=PP1&dq=Kant+epistemology+computer+vision&ots=hQK34tJLwc&sig=rKxTXM93b5nHrOfbu6AVh6hZP6E,unknown,unknown,r1_kant_cv.csv
Hume's Empiricism versus Kant's Critical Philosophy (in the Times of Artificial Intelligence and the Attention Economy).,J Kaluža,2023.0,10,… Kant’s autonomy of the human mind has perhaps never been so severely challenged … in a specifically Kantian way. By this we mean (as it will be further developed) Kant’s fundamental …,5WsYZEh1-IUJ,"J Kaluža - Information Society/Információs Társadalom (InfTars), 2023 - inftars.infonia.hu",[],https://inftars.infonia.hu/pub/PUB_2023-Oct-09-20-15-06_74487.pdf#page=67,unknown,unknown,r1_kant_cv.csv
"The pursuit of cyberism: ontology, epistemology, and ethics in the digital age","H Ning, C Han, J Ding",2026.0,0,"… for addressing the ontological, epistemological, and ethical … , threatening not only epistemological foundations but also … shows how ontological, epistemological, and ethical claims …",Vqc7iQS4OmEJ,"H Ning, C Han, J Ding - AI & SOCIETY, 2026 - Springer",[],https://link.springer.com/article/10.1007/s00146-026-03142-2,unknown,unknown,r1_kant_cv.csv
The Intersection of Insight Phenomenon in Artificial Intelligence and Kant's Transcendental Philosophy,Z Zhang,2025.0,0,"… Recently, deep learning [8], and reinforcement learning [8] … For example, deep neural networks in fields of image … I suggest how Kant's a priori concepts may be applied to artificial …",hOAVUCUTDQ0J,"Z Zhang - … International Conference on Artificial Intelligence and …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11189595/,unknown,unknown,r2a_apriori_dl.csv
Kant's a Priori Philosophical Perspectives on Artificial Intelligence: Ontological and Epistemological Considerations,Z Zhang,,0,"… center around machine learning, artificial neural networks, and reinforcement learning (… how to implement them in biological or artificial neural networks, despite the obvious similarities …",XaEV349pq3EJ,Z Zhang - Available at SSRN 4913519 - papers.ssrn.com,[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4913519,unknown,unknown,r2a_apriori_dl.csv
Kantian and Neurosymbolic Artificial Intelligence: Applications and Insights in Computer Vision,"IA Frisch, N Alechina, D Aljawaheri, D Klein",2024.0,0,"… deep learning neural networks also extend to the field of computer vision, which uses mostly deep learning… faculty of combination: learning synthetic a priori concepts by applying innate …",sczqGjtx75AJ,"IA Frisch, N Alechina, D Aljawaheri, D Klein - 2024 - studenttheses.uu.nl",[],https://studenttheses.uu.nl/server/api/core/bitstreams/d828f991-60a2-4537-971f-64468fdf4dda/content,unknown,unknown,r2a_apriori_dl.csv
What Patent Claims Cannot Say: A Kant–Wittgenstein Framework for the Patentability of Neural Networks,G Dahiya,2026.0,0,"… held machine learning claims ineligible under § 101, stating that ‘claims that do no more than apply established methods of machine learning … through the mind’sa priori categories, time, …",01-qTXWYbqcJ,"G Dahiya - International Journal for the Semiotics of Law-Revue …, 2026 - Springer",[],https://link.springer.com/article/10.1007/s11196-026-10527-5,unknown,unknown,r2a_apriori_dl.csv
A neural network account of Kant's philosophical aesthetics,P beim Graben,2024.0,4,"… learning theory of Schmid-huber, I present a neural network analogy for the harmony of the faculties in terms of generative adversarial networks (… thereby a neural network analogue of …",OzkdW6D_iXEJ,"P beim Graben - Mind Matter, 2024 - ingentaconnect.com",[],https://www.ingentaconnect.com/content/imp/mm/2024/00000022/00000002/art00005,unknown,unknown,r2a_apriori_dl.csv
The Importance of Kant's Philosophy of Mind for Contemporary Research in Artificial Intelligence,AG Pushkarsky,2025.0,0,… in the use of artificial neural networks with deep learning architecture in the field of … priori conditions of the very possibility of its existence. This Kantian method aims to reveal an a priori …,OYOGv9abguQJ,"AG Pushkarsky - RUDN Journal of Philosophy, 2025 - journals.rudn.ru",[],https://journals.rudn.ru/philosophy/article/view/44928,unknown,unknown,r2a_apriori_dl.csv
